Date,Time,Location,Class Name,Teacher,Fee,Limit,Length,Subject
8/15 (Mo) ,4:00 PM,AS03 ,Sinister Calligraphy-Introduction to Calligraphy for Left-handed People ,Ysemay Sterlyng ,0,0,1,Scribal Arts 
8/15 (Mo) ,4:00 PM,AS04 ,How to Become a Knight ,Ogami Akira ,0,0,1,SCA Life 
8/15 (Mo) ,4:00 PM,AS08 ,Road to Bedlam ,Dmitri Satore ,0,0,1,History 
8/15 (Mo) ,4:00 PM,AS09 ,The Protestant Reformation ,Lionheart of Beaver Ridge ,0,0,1,History: Religion 
8/15 (Mo) ,4:00 PM,AS13 ,Viking Wire Knitting 101 ,Grimolfr Ormalfrson ,2,12,2,Jewelry 
8/15 (Mo) ,4:00 PM,Dance ,Obscure Orchesography ,Katherine Mercer ,0,0,1,Dance: European 
8/15 (Mo) ,4:00 PM,Middle Eastern ,Roundtable for Male Dancers and Their Friends ,Valizan ibn Fredeh ,0,0,1,Dance: Middle Eastern 
8/15 (Mo) ,4:00 PM,Orluk Oasis ,Melody Jam ,Zahira ,0,0,1.5,Dance: Middle Eastern 
8/15 (Mo) ,4:00 PM,Private Camp ,Whose Line Practicum ,Midair MacCormaic ,0,0,2,Performing Arts 
8/15 (Mo) ,4:00 PM,Private Camp ,Scribes Roundtable ,RanthulfR AsparlundR ,0,0,1.5,Scribal Arts 
8/15 (Mo) ,5:00 PM,AS01,Welsh Poetry Forms ,Ivhon Thorne ,0,0,1,Bardic Arts 
8/15 (Mo) ,5:00 PM,AS03 ,Whilst Life Swayeth in Mine Inward Parts: Medieval and Renaissance Letters ,Elianora Mathewes ,0,0,1,History 
8/15 (Mo) ,5:00 PM,AS04 ,Five Personas: The Lady ,Alan Fairfax ,0,0,1,History: Religion 
8/15 (Mo) ,5:00 PM,AS05 ,Period Prostitution ,Arastorm ,0,0,1,History 
8/15 (Mo) ,5:00 PM,AS06 ,Twist Pattern Tablet Weaving ,Alistrina de Mann ,7,4,2,Fiber Arts: Weaving 
8/15 (Mo) ,5:00 PM,AS08 ,"al-Andalus 101: Society, History and Politics ",Safira al-Muffaddadiyya ,0,0,2,Culture: Middle Eastern 
8/15 (Mo) ,5:00 PM,AS09 ,Celtic Embroidery: Not Just Knotwork ,Gerald of Ipsley ,0,0,2,Fiber Arts: Embroidery 
8/15 (Mo) ,5:00 PM,AS10 ,Meeting - CG and all KCs ,Chirurgeonate Instructors ,0,0,2,Meetings 
8/15 (Mo) ,5:00 PM,AS12 ,Known World Exchecquer Meeting ,Ghita ,0,0,1,Meetings 
8/15 (Mo) ,5:00 PM,AS14 ,Beginning Lampworking ,Tegan de Moreton ,0,0,3,Miscellaneous Sciences 
8/15 (Mo) ,5:00 PM,Middle Eastern ,Beginning Middle Eastern Drumming ,Bilgisayar , ,0,1,Dance: Middle Eastern 
8/15 (Mo) ,6:00 PM,AS01,Bardic Master Class Series: Performance Techniques/Comedy ,Garraed Galbraith ,0,0,3,Bardic Arts 
8/15 (Mo) ,6:00 PM,AS03 ,East Kingdom Youth Combat Marshals Meeting ,Ellesbeth Donofrey ,0,0,1,Meetings 
8/15 (Mo) ,6:00 PM,AS04 ,Body Mapping ,Brianna Je Nell Aislynn of Blue Shadows ,0,0,3,Clothing: European 
8/15 (Mo) ,6:00 PM,AS12 ,Boreal Master Symposium ,Morgana bro Morganwg ,0,0,3,Bardic Arts 
8/15 (Mo) ,6:00 PM,Middle Eastern ,Guedra ,Kharajin of Turku ,0,0,2,Dance: Middle Eastern 
8/15 (Mo) ,6:00 PM,Orluk Oasis ,Period Male Middle Eastern Dance ,Asim al-Talib ,0,0,1,Dance: Middle Eastern 
8/15 (Mo) ,7:00 PM,Ampitheater ,Coxcomb Presents: Whose Line Doth It Be? ,Midair MacCormaic ,0,0,1.5,Performing Arts 
8/15 (Mo) ,8:00 PM,AS05 ,Ormsby Psalter ,Katarina Helene von Schonborn ,0,0,3,Scribal Arts 
8/15 (Mo) ,8:00 PM,AS08 ,Introduction to Coptic Tapestry Weaving ,Maria Agrissa Sgourina ,0,0,1,Fiber Arts: Weaving 
8/15 (Mo) ,9:00 PM,Barn ,Evening Dance ,Pennsic Dance Staff ,0,0,3,Dance: European 
8/15 (Mo) ,9:00 PM,Dance ,Arbeau Party ,Katherine Mercer ,0,0,3,Dance: European 
8/16 (Tu) ,8:00 AM,AS09 ,RuneValdr ,Arastorm ,0,0,1,Health and Safety 
8/16 (Tu) ,8:00 AM,Dance ,Introduction to Aikido ,Durdel ,0,0,2,Martial Arts 
8/16 (Tu) ,9:00 AM,AS02 ,Introduction to Turkish Embroidery ,Albra Katherine Marie Isabel Bautiste ,8,12,4,Fiber Arts: Embroidery 
8/16 (Tu) ,9:00 AM,AS04 ,Hungarian Tarsoly ,Randall Vihar-Farkas ,0,0,1,Clothing: Accessories 
8/16 (Tu) ,9:00 AM,AS05 ,Anglo-Saxon England ,Arastorm ,0,0,2,Culture: Anglo-Saxon 
8/16 (Tu) ,9:00 AM,AS06 ,Period Mustards ,Ljufvina Bjornsdottir ,2,30,1,Culinary Arts 
8/16 (Tu) ,9:00 AM,AS07 ,Topping It Off: Finishing Your Look ,Ilish O'Donovan ,0,0,1,Clothing: Accessories 
8/16 (Tu) ,9:00 AM,AS08 ,Stump the Seneschal ,Aaron Faheud Swiftrunner ,0,0,2.5,SCA Life 
8/16 (Tu) ,9:00 AM,AS09 ,Jin Shin Jyutsu ,Durdel ,0,0,1,Health and Safety 
8/16 (Tu) ,9:00 AM,AS13 ,Garden Folklore 2 ,Cairistiona de Coveran ,0,0,1,Herbs and Gardens 
8/16 (Tu) ,9:00 AM,Middle Eastern ,Stretching and Conditioning for ME dance ,Gazelle ,0,0,1,Dance: Middle Eastern 
8/16 (Tu) ,9:00 AM,Pavillion ,Children's Theater ,Sofia Tyzes ,0,0,1,Children and Youth 
8/16 (Tu) ,9:00 AM,Private Camp ,Morning Stretching with Anne Elaina ,Anne Elaina of River's Bend ,0,0,1,Health and Safety 
8/16 (Tu) ,9:00 AM,Private Camp ,Performers Warm Ups ,Judith the Uncertain ,0,0,0.5,Performing Arts 
8/16 (Tu) ,9:00 AM,Private Camp ,Woodworking Handtool Petting Zoo ,Otelia d'Alsace ,0,0,2,Woodworking 
8/16 (Tu) ,9:00 AM,Thrown Weapons ,Thrown Weapons Marshall-in-Training Class 2: Individual Kingdom Rules ,Thrown Weapons Instructors ,0,0,2,Thrown Weapons 
8/16 (Tu) ,9:30 AM,Barn ,Loud wind band ,Deonna von Aachen ,0,0,1.5,Music: Instrumental 
8/16 (Tu) ,9:30 AM,Private Camp ,Performers' Directing Session ,Henry Best ,0,0,1,Performing Arts 
8/16 (Tu) ,10:00 AM,Archery Point ,Youth Archery Classes ,Charles O'Connor ,5,10,3,Children and Youth 
8/16 (Tu) ,10:00 AM,AS01,Telling Stories to an Audience ,Toki Redbeard ,0,0,1,Bardic Arts 
8/16 (Tu) ,10:00 AM,AS04 ,Autocrat Handbook ,Diane the Scrivener ,0,0,1,SCA Life 
8/16 (Tu) ,10:00 AM,AS06 ,How to Organize and Run Demos ,Angharad y Rhosyn ferch Rhain ,0,0,1,SCA Life 
8/16 (Tu) ,10:00 AM,AS07 ,Babies at Pennsic: a Discussion ,Elizabeth of Dendermonde ,0,0,1,SCA Life 
8/16 (Tu) ,10:00 AM,AS09 ,The Reed Woven Henin ,Eleanor le Brun ,0,0,2,Clothing: Accessories 
8/16 (Tu) ,10:00 AM,AS12 ,A Very Basic Sewing/Embroidery Class ,Anna Mailander , ,20,2,Sewing 
8/16 (Tu) ,10:00 AM,AS13 ,Wire Weaving ,Betha ,1,10,2,Metalwork 
8/16 (Tu) ,10:00 AM,Dance ,Dance Step Refresher ,Lorelei Skye of Rivenstar ,0,0,1,Dance: European 
8/16 (Tu) ,10:00 AM,Gaming ,Introduction to the Game of Goose ,Istvan Nyiregyhazi ,0,0,1,Gaming 
8/16 (Tu) ,10:00 AM,Middle Eastern ,Beginner Dance ,Magdalena de Hazebrouck-Purpure ,0,0,1,Dance: Middle Eastern 
8/16 (Tu) ,10:00 AM,Orluk Oasis ,Energetic South Indian Dance ,Lakshmi Amman ,0,0,1,Dance: Asian 
8/16 (Tu) ,10:00 AM,Performign Arts ,Techniques of Renaissance Ornamentation and Embelishment ,Geoffrey of Wroxeter ,0,0,1,Music: Instrumental 
8/16 (Tu) ,10:00 AM,Private Camp ,The Guilloche Braid ,Thora Sharptooth ,0,0,2.5,Fiber Arts: Braids and Cords 
8/16 (Tu) ,10:00 AM,Private Camp ,Advanced Scribal Tract 2 ,Aethelmearc Scribes ,40,10,2,Scribal Arts 
8/16 (Tu) ,10:00 AM,Private Camp ,Whitework ,Katarina Helene von Schonborn ,10,10,2,Scribal Arts 
8/16 (Tu) ,10:00 AM,Private Camp ,Fabrics 101 ,Maria Pienkneplotno ,2,8,1,Sewing 
8/16 (Tu) ,10:00 AM,Thrown Weapons ,Children Beginning Thrown Weapons ,Thrown Weapons Instructors ,0,10,1.5,Thrown Weapons 
8/16 (Tu) ,10:30 AM,Private Camp ,"Master Class: Building an Act, Day Two ",Henry Best ,0,0,1.5,Performing Arts 
8/16 (Tu) ,11:00 AM,AS01,Composing Skaldic Verse ,Toki Redbeard ,0,0,1,Bardic Arts 
8/16 (Tu) ,11:00 AM,AS03 ,Can I Copyright My Scroll? ,Tristan le Chanticleer de Champagne ,0,0,1,Scribal Arts 
8/16 (Tu) ,11:00 AM,AS04 ,Garb Maintenance for Non-Costumers ,Catalina d'Oro ,0,0,1,Clothing 
8/16 (Tu) ,11:00 AM,AS05 ,Jane Bostocke Sampler 1598 ,Anne la Settere ,8,10,2,Fiber Arts: Embroidery 
8/16 (Tu) ,11:00 AM,AS06 ,Introduction to Sprang ,Sabatina da Valle ,0,0,1,Fiber Arts: Weaving 
8/16 (Tu) ,11:00 AM,AS07 ,Beyond Basic Lucet ,Lidia de Ragusa ,0,0,1,Fiber Arts: Braids and Cords 
8/16 (Tu) ,11:00 AM,AS12 ,14th Century Applique ,Astryda Borowska ,0,0,1,Fiber Arts: Embroidery 
8/16 (Tu) ,11:00 AM,Barn ,The Medieval Trumpet ,Kieran MacRae ,0,0,1,Music: Instrumental 
8/16 (Tu) ,11:00 AM,Dance ,Verceppe: a 15th Century Italian Skirmish ,Genevieve de Montmorency ,0,0,1,Dance: European 
8/16 (Tu) ,11:00 AM,Middle Eastern ,Period Pictures of People Dancing ,Magdalena de Hazebrouck-Purpure ,0,0,1,Dance: Middle Eastern 
8/16 (Tu) ,11:00 AM,Orluk Oasis ,Identify Middle Eastern Dance Steps and Their Origins ,Genievieve de Charbonneau ,0,0,2,Dance: Middle Eastern 
8/16 (Tu) ,11:00 AM,Performing Arts ,Instrumental Improvisation ,John Elys ,0,0,1,Music: Instrumental 
8/16 (Tu) ,11:00 AM,Private Camp ,Secrets of Medieval Illumination Technology ,RanthulfR AsparlundR ,0,0,2,Scribal Arts 
8/16 (Tu) ,11:00 AM,Private Camp ,Bowl Turning Without a Rest 3: Demo and Hands-On ,Dofinn-Hallr Morrisson ,0,0,4,Woodworking 
8/16 (Tu) ,12:00 PM,AS01,Introduction to Byliny: Russian Heroic Poems ,Luceta di Cosimo ,0,0,1,Bardic Arts 
8/16 (Tu) ,12:00 PM,AS03 ,Making Scrolls for the East Kingdom ,Anne Elaina of River's Bend ,3,0,2,Scribal Arts 
8/16 (Tu) ,12:00 PM,AS04 ,"The Golden Age of Heresy, 1150-1350 ",Alan Fairfax ,0,0,1,History: Religion 
8/16 (Tu) ,12:00 PM,AS05 ,Tin Hats and Fancy Necklaces ,Irene leNoir ,0,0,1,SCA Life 
8/16 (Tu) ,12:00 PM,AS06 ,The Ultimate Sleeves Class ,Tempus Peregrinator ,0,0,2,Sewing 
8/16 (Tu) ,12:00 PM,AS08 ,Cooking from Primary Sources ,Cariadoc of the Bow ,0,0,1,Culinary Arts 
8/16 (Tu) ,12:00 PM,AS09 ,The Renaissance Barber-Surgeon ,Michael Graham ,0,0,1,Persona 
8/16 (Tu) ,12:00 PM,AS12 ,Catherine of Aragon and Anne Boleyn: The Battle Royal ,Anjuli McDonald of Clanranald ,0,0,2,History 
8/16 (Tu) ,12:00 PM,AS13 ,"The Good, the Bad and the Oh-My-God-What-Are-They-Wearing? ",Toki Redbeard ,0,0,2,Clothing 
8/16 (Tu) ,12:00 PM,AS14 ,Flowered Sugars ,Ardenia A Ruadh ,0,0,1,Culinary Arts 
8/16 (Tu) ,12:00 PM,Dance ,Renaissance Folk Dance: Chirintana ,Judith of Northumbria ,0,0,1,Dance: European 
8/16 (Tu) ,12:00 PM,Middle Eastern ,Tribal Jewelry ,"Brad Father"" Dunn"" ",0,0,1,Jewelry 
8/16 (Tu) ,12:00 PM,Performing Arts ,The History of Arabic Music According to Ribera y Tarrago ,Sigurd Haakonson ,0,0,1,Music 
8/16 (Tu) ,12:00 PM,Private Camp ,Introduction to Reading Blazonry ,Roana d'Evreux ,0,0,3,Heraldry 
8/16 (Tu) ,12:00 PM,Private Camp ,Intro to Conjuring ,Kuji Ka Onimusashi ,0,0,1,Performing Arts 
8/16 (Tu) ,1:00 PM,AS01,The Role of the Bard in Celtic Society ,Garraed Galbraith ,0,0,1,Bardic Arts 
8/16 (Tu) ,1:00 PM,AS02 ,Girdle or Belt Book ,Aine the Dreamseeker ,0,10,2,Children and Youth 
8/16 (Tu) ,1:00 PM,AS04 ,Pennsic Without a Cooler ,Elizabeth of Dendermonde ,0,0,1,Culinary Arts 
8/16 (Tu) ,1:00 PM,AS05 ,An Overview of Memorial Brasses ,Leanore de Vertearbors ,0,0,1,History 
8/16 (Tu) ,1:00 PM,AS07 ,Making Your Web Pages Accessible ,Minowara Kiritsubo ,0,0,2,SCA Life 
8/16 (Tu) ,1:00 PM,AS08 ,Talk Like A Viking ,Rowan Canterbury ,0,0,1,Languages 
8/16 (Tu) ,1:00 PM,AS09 ,Period or Non-Period Pirates? ,Elias Gedney ,0,0,1,Nautical 
8/16 (Tu) ,1:00 PM,Dance ,Playing With Your Partner ,Judith of Northumbria ,0,0,1,Dance: European 
8/16 (Tu) ,1:00 PM,Gaming ,In the Days Before Parker Brothers ,Cristofana di Lorenzo ,0,0,1,Gaming 
8/16 (Tu) ,1:00 PM,Performing Arts ,Falconry in Medieval Life ,Duncan Blackwater ,0,0,2,Birds and Beasts 
8/16 (Tu) ,1:00 PM,Private Camp ,Inkan Houri: Seal Carving 2 ,Solveig Throndardottir ,2,0,2,Culture: Asian 
8/16 (Tu) ,1:00 PM,Private Camp ,Juggling Practicum & Trickswap ,D'Mitrii Magyarov ,0,0,1,Performing Arts 
8/16 (Tu) ,1:00 PM,Private Camp ,How to Paint on Parchment ,RanthulfR AsparlundR ,8,6,1,Scribal Arts 
8/16 (Tu) ,2:00 PM,AS01,Sephardic Music Overview ,Eliane Halevy ,0,0,1,Music: Vocal 
8/16 (Tu) ,2:00 PM,AS03 ,Making the Medieval PDA: Small Books for Belts and Pouches ,Elianora Mathewes ,2,15,2,Miscellaneous Sciences 
8/16 (Tu) ,2:00 PM,AS04 ,The Stitches of the Bayeux Tapestry ,Rowan de Beauchamp ,0,0,1,Fiber Arts: Embroidery 
8/16 (Tu) ,2:00 PM,AS05 ,The Foods of la Florida ,Dinah bint Isma'il ,0,0,1,Culinary Arts 
8/16 (Tu) ,2:00 PM,AS06 ,The Ultimate Fancy Pants Class ,Tempus Peregrinator ,0,0,2,Sewing 
8/16 (Tu) ,2:00 PM,AS09 ,History of Bagpipes ,Bryn y Pobydd ,0,0,1,History 
8/16 (Tu) ,2:00 PM,AS11 ,Red Cross First Aid ,Chirurgeonate Instructors ,20,12,4,Health and Safety 
8/16 (Tu) ,2:00 PM,AS13 ,Building Furniture from Art ,Rhys Austringer ,0,0,1.5,Woodworking 
8/16 (Tu) ,2:00 PM,Dance ,Barriera ,Justin du Coeur ,0,0,1,Dance: European 
8/16 (Tu) ,2:00 PM,Private Camp ,Intermediate Conjuring ,Matthew Christopher ,0,0,1,Performing Arts 
8/16 (Tu) ,3:00 PM,AS01,Performance Techniques ,Ivhon Thorne ,0,0,1,Bardic Arts 
8/16 (Tu) ,3:00 PM,AS02 ,Basic Beekeeping for the Modern Medievalist ,Angus Kerr ,0,0,1,Birds and Beasts 
8/16 (Tu) ,3:00 PM,AS04 ,Death Becomes Us ,Elianora Mathewes ,0,0,1,History 
8/16 (Tu) ,3:00 PM,AS05 ,Legal Institutions of Saga Period Iceland ,Cariadoc of the Bow ,0,0,1,History: Legal 
8/16 (Tu) ,3:00 PM,AS07 ,Beginning Drop Spindle ,Otelia d'Alsace ,2,15,1,Fiber Arts: Spinning 
8/16 (Tu) ,3:00 PM,AS08 ,Rise of Imperial Religions ,Mael ruain mac Eoain ,0,0,2,History: Religion 
8/16 (Tu) ,3:00 PM,AS10 ,Red Cross Renewal Challenges ,Chirurgeonate Instructors ,10,7,2,Health and Safety 
8/16 (Tu) ,3:00 PM,AS14 ,Intermediate/Advanced Lampworking ,Tegan de Moreton ,0,0,3,Miscellaneous Sciences 
8/16 (Tu) ,3:00 PM,Dance ,Beginning English Country ,Saltatoris Dance Guild ,0,0,1,Dance: European 
8/16 (Tu) ,3:00 PM,Performing Arts ,Known World Choir at Pennsic ,Erlan Nordenskol ,0,0,3,Music: Vocal 
8/16 (Tu) ,3:00 PM,Private Camp ,A Master Class in Katana ,Ogami Akira ,0,0,1,Martial Arts 
8/16 (Tu) ,3:00 PM,Private Camp ,Period Candlemaking ,Ruedy MacChristian ,10,5,4,Miscellaneous Sciences 
8/16 (Tu) ,3:00 PM,Private Camp ,Costuming for Performers ,Tamara di Firenze ,0,0,1,Performing Arts 
8/16 (Tu) ,3:00 PM,Private Camp ,Beginner Scribal Tract: Celtic - Drawing Celtic Knotwork ,Aethelmearc Scribes ,40,10,2,Scribal Arts 
8/16 (Tu) ,3:00 PM,Thrown Weapons ,Building a Portable Stand for Rounds ,Thrown Weapons Instructors ,0,0,2,Thrown Weapons 
8/16 (Tu) ,3:30 PM,Gaming ,Laugh and Lie Down ,Justin du Coeur ,0,0,1.5,Gaming 
8/16 (Tu) ,4:00 PM,AS01,Bawdy or Beauty ,Gyric of Otershaghe ,0,0,1,Music: Vocal 
8/16 (Tu) ,4:00 PM,AS02 ,Celtic Embroidery: Before the Romans ,Gerald of Ipsley ,0,0,2,Fiber Arts: Embroidery 
8/16 (Tu) ,4:00 PM,AS03 ,Italian White Vine Illumination ,Aidan ni Leir ,0,8,3,Scribal Arts 
8/16 (Tu) ,4:00 PM,AS04 ,Five Personas: The Wanderer ,Alan Fairfax ,0,0,1,History: Religion 
8/16 (Tu) ,4:00 PM,AS05 ,Strange Stories of Women's Health ,Natalia Yashovna ,0,0,1,Health and Safety 
8/16 (Tu) ,4:00 PM,AS06 ,Known World Chatelaines Meeting ,Seadna O'Bainainn ,0,0,2,Meetings 
8/16 (Tu) ,4:00 PM,AS07 ,Pleasures of the Table ,Laurencia of Carlisle ,0,0,1,Culinary Arts 
8/16 (Tu) ,4:00 PM,AS09 ,Fealty and Homage Ceremonies ,Alban St. Albans ,0,0,2,History: Chivalry 
8/16 (Tu) ,4:00 PM,AS12 ,Understanding Fabric ,Irene leNoir ,0,0,2,Sewing 
8/16 (Tu) ,4:00 PM,AS13 ,Learning the Lay of the Leather ,Brice le Corbet ,0,0,1,Leatherwork 
8/16 (Tu) ,4:00 PM,Barn ,Fools Parade ,Sophia the Orange ,0,0,1,Events 
8/16 (Tu) ,4:00 PM,Dance ,Pennsic Ball Prep ,Judith of Northumbria ,0,0,2,Dance: European 
8/16 (Tu) ,4:00 PM,Private Camp ,Egg Tempera and Panel Painting ,Dosalena Sophia della Mirandola ,0,0,2,Painting 
8/16 (Tu) ,4:00 PM,Private Camp ,Intermediate Improv ,Midair MacCormaic ,0,0,1,Performing Arts 
8/16 (Tu) ,5:00 PM,AS01,Building Blocks of Old English Poetry ,Fiana of Clare ,0,0,1,Bardic Arts 
8/16 (Tu) ,5:00 PM,AS04 ,Dance Masters' Cabal ,Fred Blonder ,0,0,1,Dance: European 
8/16 (Tu) ,5:00 PM,AS05 ,Baba Yaga: the Arch-Villainess of Russian Folklore ,Luceta di Cosimo ,0,0,1,Culture: Slavic 
8/16 (Tu) ,5:00 PM,AS07 ,Quick and Easy Bliaut ,Thyri Erbewyf ,0,0,1,Clothing: European 
8/16 (Tu) ,5:00 PM,AS08 ,Transition from Dark Ages to Renaissance ,Lionheart of Beaver Ridge ,0,0,1,History: Religion 
8/16 (Tu) ,5:00 PM,AS10 ,Meeting - East Kingdom Chirurgeons ,Chirurgeonate Instructors ,0,0,2,Meetings 
8/16 (Tu) ,5:00 PM,AS13 ,Making a 14th Century Leather Pouch ,Richard Wymarc ,2,10,1,Leatherwork 
8/16 (Tu) ,5:00 PM,Middle Eastern ,Women In Islam: During the Time of Muhammad ,'Isa ibn-Abdullah ,0,0,1,Culture: Middle Eastern 
8/16 (Tu) ,5:00 PM,Private Camp ,Open Practice Session ,Faheud of Nazareth ,0,0,1,Performing Arts 
8/16 (Tu) ,5:00 PM,Thrown Weapons ,Building Easy Spear and Javelin Targets ,Thrown Weapons Instructors ,0,0,1,Thrown Weapons 
8/16 (Tu) ,6:00 PM,AS01,Bardic Master Class Series: Performance Techniques/Drama ,Garraed Galbraith ,0,0,3,Bardic Arts 
8/16 (Tu) ,6:00 PM,AS04 ,East Kingdom Youth Combat Program ,Ellesbeth Donofrey ,0,0,1,Martial Arts 
8/16 (Tu) ,6:00 PM,AS05 ,Basic Middle Eastern Clothing Draft ,Brianna Je Nell Aislynn of Blue Shadows ,0,0,2,Clothing: Middle Eastern 
8/16 (Tu) ,6:00 PM,AS06 ,Known World Embroiderers Meet and Greet ,Elizabet Marshall ,0,0,3,Fiber Arts: Embroidery 
8/16 (Tu) ,6:00 PM,AS08 ,Introduction to the Celtic Languages ,Caera Cruitire ingen Uaithne ,0,0,1,Languages 
8/16 (Tu) ,6:00 PM,AS09 ,Fabric and Basic Weave Structures ,AnneLiese Wolkenhaar ,1.5,10,2,Fiber Arts: Weaving 
8/16 (Tu) ,6:00 PM,AS11 ,Blood Born Pathogens ,Chirurgeonate Instructors ,0,0,1,Health and Safety 
8/16 (Tu) ,6:00 PM,Middle Eastern ,Middle Eastern Dancing for All ,Scheherazade Allouyna al-Zahira ,0,0,1,Dance: Middle Eastern 
8/16 (Tu) ,7:00 PM,Ampitheater ,Coxcomb Presents: Conjurors' Cavalcade ,Kuji Ka Onimusashi ,0,0,1,Performing Arts 
8/16 (Tu) ,7:00 PM,Middle Eastern ,Kama Sutra for Women ,Mungala El Erat Jindaam ,0,0,2,Health and Safety 
8/16 (Tu) ,8:00 PM,AS05 ,Ormsby Psalter ,Katarina Helene von Schonborn ,0,0,3,Scribal Arts 
8/16 (Tu) ,8:00 PM,AS08 ,Period Jewelry: a Slideshow ,Cariadoc of the Bow ,0,0,1,Jewelry 
8/16 (Tu) ,8:00 PM,Private Camp ,Conjurors' Circle ,Kuji Ka Onimusashi ,0,0,1,Performing Arts 
8/16 (Tu) ,8:30 PM,AS13 and 14 ,Bead Night ,Irene the Questing ,0,0,2,Miscellaneous Sciences 
8/16 (Tu) ,9:00 PM,Barn ,Pennsic Ball ,Lyev Davidovitch ,0,0,3,Dance: European 
8/17 (We) ,8:00 AM,AS09 ,RuneValdr ,Arastorm ,0,0,1,Health and Safety 
8/17 (We) ,8:00 AM,Dance ,Introduction to Aikido ,Durdel ,0,0,2,Martial Arts 
8/17 (We) ,9:00 AM,AS02 ,Metal Thread Embroidery into Basketweave Couching ,Albra Katherine Marie Isabel Bautiste ,12,15,4,Fiber Arts: Embroidery 
8/17 (We) ,9:00 AM,AS03 ,"Relics and Reliquaries, or, Fun with Body Parts ",Svea the Short-sighted ,0,0,2,History: Religion 
8/17 (We) ,9:00 AM,AS05 ,Medieval English Year Books ,Ruqayyah ,0,0,1,History: Legal 
8/17 (We) ,9:00 AM,AS06 ,Anglo-Saxon Children ,Arastorm ,0,0,1,Culture: Anglo-Saxon 
8/17 (We) ,9:00 AM,AS07 ,Stump the Seneschal ,Aaron Faheud Swiftrunner ,0,0,2.5,SCA Life 
8/17 (We) ,9:00 AM,AS08 ,Basic Embroidery for Beginners ,Cateline la Broderesse ,2,25,1,Fiber Arts: Embroidery 
8/17 (We) ,9:00 AM,AS09 ,Jin Shin Jyutsu ,Durdel ,0,0,1,Health and Safety 
8/17 (We) ,9:00 AM,AS12 ,Introduction to Celtic Clothing ,Emer nic Aidan ,0,0,1,Clothing: European 
8/17 (We) ,9:00 AM,Middle Eastern ,Stretching and Conditioning for ME dance ,Gazelle ,0,0,1,Dance: Middle Eastern 
8/17 (We) ,9:00 AM,Pavillion ,Children's Theater ,Sofia Tyzes ,0,0,1,Children and Youth 
8/17 (We) ,9:00 AM,Performing Arts ,Period Songs that are Fun to Sing: 12th-13th Centuries ,Constance Fairfax ,0,0,1,Music: Vocal 
8/17 (We) ,9:00 AM,Private Camp ,15th Century Italian Clothing: Style and Construction from the Skin out: the Camicia ,Rainillt Leia de Bello Marisco ,0,0,1,Clothing: European 
8/17 (We) ,9:00 AM,Private Camp ,Morning Stretching with Anne Elaina ,Anne Elaina of River's Bend ,0,0,1,Health and Safety 
8/17 (We) ,9:00 AM,Private Camp ,Performers Warm Ups ,Judith the Uncertain ,0,0,0.5,Performing Arts 
8/17 (We) ,9:30 AM,Barn ,Loud Wind Band ,Deonna von Aachen ,0,0,1.5,Music: Instrumental 
8/17 (We) ,9:30 AM,Private Camp ,Performers' Directing Session ,Henry Best ,0,0,1,Performing Arts 
8/17 (We) ,10:00 AM,Archery Point ,Youth Archery Classes ,Charles O'Connor ,5,10,3,Children and Youth 
8/17 (We) ,10:00 AM,AS01,Getting Started Writing Structured Verse ,Michael Alewright ,0,0,1,Bardic Arts 
8/17 (We) ,10:00 AM,AS04 ,How to Make a Gambeson ,Randall Vihar-Farkas ,0,0,1,Arms and Armor 
8/17 (We) ,10:00 AM,AS05 ,What are the Judges Looking for? ,Daria of Atlantia ,0,0,1,Brewing and Vintning 
8/17 (We) ,10:00 AM,AS06 ,The Reed Woven Henin ,Eleanor le Brun ,0,0,2,Clothing: Accessories 
8/17 (We) ,10:00 AM,AS08 ,14th Century Edge-Finishing Methods for Clothing ,Astryda Borowska ,0,0,1,Sewing 
8/17 (We) ,10:00 AM,AS09 ,16th Century Persian Costuming ,Roxane Farabi ,0,0,2,Clothing: Middle Eastern 
8/17 (We) ,10:00 AM,AS12 ,"So, You Want to Be A Harper ",Niamh inghean Lachlainn ,0,0,2,Music: Instrumental 
8/17 (We) ,10:00 AM,AS13 ,"Basic Turnshoes, Tools and Techniques ",Seamus ua'Murchada ,0,0,1.5,Leatherwork 
8/17 (We) ,10:00 AM,AS14 ,Wire Weaving ,Betha ,1,10,2,Metalwork 
8/17 (We) ,10:00 AM,Dance ,Italian For Dance ,Etienne de Clermont ,0,0,1,Dance: European 
8/17 (We) ,10:00 AM,Gaming ,In the Days Before Parker Brothers ,Cristofana di Lorenzo ,0,0,1,Gaming 
8/17 (We) ,10:00 AM,Middle Eastern ,Beginner Dance ,Magdalena de Hazebrouck-Purpure ,0,0,1,Dance: Middle Eastern 
8/17 (We) ,10:00 AM,Orluk Oasis ,Energetic South Indian Dance ,Lakshmi Amman ,0,0,1,Dance: Asian 
8/17 (We) ,10:00 AM,Performing Arts ,Norse Music ,Martin Bildner ,0,0,1,Music 
8/17 (We) ,10:00 AM,Private Camp ,15th Century Italian Clothing: Style and Construction from the Skin out: The Gamurra ,Kamilla van Anderlecht ,0,0,2,Clothing: European 
8/17 (We) ,10:00 AM,Private Camp ,Advanced Scribal Tract 3 ,Aethelmearc Scribes ,40,10,2,Scribal Arts 
